ITEM,DESCRIP,Gauge,Color
CFLAT24MGWA48       ,"*CUSTOM LENGTH* 24GA MELCHERS GREEN / WHITEWASH SMP 48"" FLAT                                        ",24,MELCHERS GREEN/WASH 
CFLAT24MESWA48      ,"*CUSTOM LENGTH* 24GA MESQUITE / WHITEWASH PE 48"" FLAT                                               ",24,MESQUITE/WASH       
CFLAT24MBWA48       ,"*CUSTOM LENGTH* 24GA METRO BROWN / WHITEWASH SMP 48"" FLAT                                           ",24,METRO BROWN/WASH    
CFLAT24LZWA48       ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WHITEWASH PVDF 48"" FLAT                                           ",24,LIGHT ZINC/WASH     
CFLAT24LU48         ,"*CUSTOM LENGTH* 24GA GALVALUME 48"" FLAT                                                             ",24,GALVALUME           
CFLAT24LPWA48       ,"*CUSTOM LENGTH* 24GA LIGHT PINE / WHITEWASH PE 48"" FLAT                                             ",24,LIGHT PINE/WASH     
CFLAT24LBSG48       ,"*CUSTOM LENGTH* 24GA LABRADOR BLUE / STONE GREY SMP 48"" FLAT                                        ",24,LABRADOR BLUE/STONE 
CORJT126TQTN        ,26GA TURQUOISE / TAN SMP CORJT1                                                                     ,26,TURQUOISE/TAN       
CFLAT24LBKWA48      ,"*CUSTOM LENGTH* 24GA LOW GLOSS BLACK / WHITEWASH PVDF 48"" FLAT                                      ",24,LOW GLOSS BLACK/WASH
CFLAT24KNOWA48      ,"*CUSTOM LENGTH* 24GA KNOTTY PINE / WHITEWASH PE 48"" FLAT                                            ",24,KNOTTY PINE/WASH    
CFLAT24KBWA48       ,"*CUSTOM LENGTH* 24GA KONA BROWN / WHITEWASH TEX 48"" FLAT                                            ",24,KONA BROWN/WASH     
CFLAT24IRONCA48     ,"*CUSTOM LENGTH* 24GA IRON ORE / CASHMERE SMP 48"" FLAT                                               ",24,IRON ORE/CASHMERE   
CFLAT24IOWA48       ,"*CUSTOM LENGTH* 24GA INT'L ORANGE / WHITEWASH SMP 48"" FLAT                                          ",24,INT'L ORANGE/WASH   
CFLAT24HOMWA48      ,"*CUSTOM LENGTH* 24GA HOMESTEAD / WHITEWASH PVDF 48"" FLAT                                            ",24,HOMESTEAD/WASH      
CFLAT24HGWA48       ,"*CUSTOM LENGTH* 24GA HARTFORD GREEN / WHITEWASH PVDF 48"" FLAT                                       ",24,HARTFORD GREEN/WASH 
CFLAT24HBWA48       ,"*CUSTOM LENGTH* 24GA HERON BLUE / WHITEWASH SMP 48"" FLAT                                            ",24,HERON BLUE/WASH     
CFLAT24GUNWA48      ,"*CUSTOM LENGTH* 24GA GUNSTOCK / WHITEWASH PVDF 48"" FLAT                                             ",24,GUNSTOCK/WASH       
CFLAT24GDCW48       ,"*CUSTOM LENGTH* 24GA GOLD / CAMBRIDGE WHITE SMP 48"" FLAT                                            ",24,GOLD/CAMBRIDGE WHITE
CFLAT24GA48         ,"*CUSTOM LENGTH* 24GA GALVANIZED 48"" FLAT                                                            ",24,GALVANIZED          
CFLAT24FROWA48      ,"*CUSTOM LENGTH* 24GA FRONTIER / WHITEWASH PVDF 48"" FLAT                                             ",24,FRONTIER/WASH       
CFLAT24FORWA48      ,"*CUSTOM LENGTH* 24GA FOREST GREEN / WHITEWASH PVDF 48"" FLAT                                         ",24,FOREST GREEN/WASH   
CFLAT24ESPWA48      ,"*CUSTOM LENGTH* 24GA ESPRESSO / WHITEWASH PVDF 48"" FLAT                                             ",24,ESPRESSO/WASH       
CFLAT24DZWA48       ,"*CUSTOM LENGTH* 24GA DARK ZINC / WHITEWASH PVDF 48"" FLAT                                            ",24,DARK ZINC/WASH      
CFLAT24DWGRG48      ,"*CUSTOM LENGTH* 24GA DEEP WATER GREEN / REGENT GREY SMP 48"" FLAT                                    ",24,DEEP WATER/REGENT GR
CFLAT24DRWA48       ,"*CUSTOM LENGTH* 24GA DARK RED / WHITEWASH SMP 48"" FLAT                                              ",24,DARK RED/WASH       
CFLAT24DKPW48       ,"*CUSTOM LENGTH* 24GA DARK BROWN / POLAR WHITE SMP 48"" FLAT                                          ",24,DARK BROWN/POLAR WHI
CFLAT24DKWA48       ,"*CUSTOM LENGTH* 24GA DARK BROWN / WHITEWASH SMP 48"" FLAT                                            ",24,DARK BROWN/WASH     
CFLAT24DBWWA48      ,"*CUSTOM LENGTH* 24GA WF DARK BRONZE / WHITEWASH PVDF 48"" FLAT                                       ",24,WF DARK BRONZE/WASH 
CFLAT24DBCWA48      ,"*CUSTOM LENGTH* 24GA CAS DARK BRONZE / WHITEWASH PVDF 48"" FLAT                                      ",24,CAS DARK BRONZE/WASH
CFLAT24CWRG48       ,"*CUSTOM LENGTH* 24GA CAMBRIDGE WHITE / REGENT GREY SMP 48"" FLAT                                     ",24,CAMBRIDGE WHITE/REG 
CFLAT24CTWA48       ,"*CUSTOM LENGTH* 24GA CONCRETE / WHITEWASH PE 48"" FLAT                                               ",24,CONCRETE/WASH       
CFLAT24CRWA48       ,"*CUSTOM LENGTH* 24GA COLONIAL RED / WHITEWASH PVDF 48"" FLAT                                         ",24,COLONIAL RED/WASH   
CFLAT24CPWA48       ,"*CUSTOM LENGTH* 24GA COPPER PENNY / WHITEWASH PVDF 48"" FLAT                                         ",24,COPPER PENNY/WASH   
CFLAT24CORWA48      ,"*CUSTOM LENGTH* 24GA CORTEN / WHITEWASH PE 48"" FLAT                                                 ",24,CORTEN/WASH         
CFLAT24CO36         ,"*CUSTOM LENGTH* 24GA COPPER 36"" FLAT                                                                ",24,COPPER              
CFLAT24CNWA48       ,"*CUSTOM LENGTH* 24GA CANYON / WHITEWASH PVDF 48"" FLAT                                               ",24,CANYON/WASH         
CFLAT24CMWA48       ,"*CUSTOM LENGTH* 24GA CHAMPAGNE METALLIC / WHITEWASH PVDF 48"" FLAT                                   ",24,CHAMPAGNE METAL/WASH
CFLAT24CGWA48       ,"*CUSTOM LENGTH* 24GA CHARCOAL GREY / WHITEWASH SMP 48"" FLAT                                         ",24,CHARCOAL GREY/WASH  
CFLAT24BWWA48       ,"*CUSTOM LENGTH* 24GA BONE WHITE / WHITEWASH SMP 48"" FLAT                                            ",24,BONE WHITE/WASH     
CFLAT24BTDG48       ,"*CUSTOM LENGTH* 24GA BRIARWOOD TAN / CAS DARK GREEN SMP 48"" FLAT                                    ",24,BRIARWOOD TAN/CAS DA
CFLAT24BROWA48      ,"*CUSTOM LENGTH* 24GA BRONZE / WHITEWASH PVDF 48"" FLAT                                               ",24,BRONZE/WASH         
CFLAT24BRWA48       ,"*CUSTOM LENGTH* 24GA BRITE RED / WHITEWASH SMP 48"" FLAT                                             ",24,BRITE RED/WASH      
CFLAT24BKWA48       ,"*CUSTOM LENGTH* 24GA BLACK / WHITEWASH SMP 48"" FLAT                                                 ",24,BLACK/WASH          
CFLAT24BCWA48       ,"*CUSTOM LENGTH* 24GA BLACK COFFE / WHITEWASH SMP 48"" FLAT                                           ",24,BLACK COFFEE/WASH   
CFLAT24BAWA48       ,"*CUSTOM LENGTH* 24GA BARN BOARD / WHITEWASH PVDF 48"" FLAT                                           ",24,BARNBOARD/WASH      
CFLAT24BABA48       ,"*CUSTOM LENGTH* 24GA BARN BOARD / BARN BOARD PVDF 48"" FLAT                                          ",24,BARNBOARD/BARNBOARD 
CFLAT24AUTWA48      ,"*CUSTOM LENGTH* 24GA AUTUMN / WHITEWASH PVDF 48"" FLAT                                               ",24,AUTUMN/WASH         
CFLAT24ASHWA48      ,"*CUSTOM LENGTH* 24GA ASHWOOD / WHITEWASH PE 48"" FLAT                                                ",24,ASHWOOD/WASH        
CFLAT24ANAN48       ,"*CUSTOM LENGTH* 24GA ACORN / ACORN PVDF 48"" FLAT                                                    ",24,ACORN/ACORN         
CFLAT24ANWA48       ,"*CUSTOM LENGTH* 24GA ACORN / WHITEWASH PVDF 48"" FLAT                                                ",24,ACORN/WASH          
CFLAT24AM36         ,"*CUSTOM LENGTH* 24GA ALUMINUM 36"" FLAT                                                              ",24,ALUMINUM            
CFLAT24ALWA48       ,"*CUSTOM LENGTH* 24GA ANTIQUE LINEN / WHITEWASH SMP 48"" FLAT                                         ",24,ANTIQUE LINEN/WASH  
CFLAT24ACWA48       ,"*CUSTOM LENGTH* 24GA AGED COPPER / WHITEWASH PVDF 48"" FLAT                                          ",24,AGED COPPER/WASH    
CFLAT248BW4IW48     ,"*CUSTOM LENGTH* 24GA 8MIL BONE WHITE / 4MIL INTERIOR WHITE BARRIER 48"" FLAT                         ",24,8M BONE/4M INTERIOR 
CFLAT22YVRBWA48     ,"*CUSTOM LENGTH* 22GA YVR BLUE / WHITEWASH PVDF 48"" FLAT                                             ",22,YVR BLUE/WASH       
CFLAT22WZWA48       ,"*CUSTOM LENGTH* 22GA WEATHERED ZINC / WHITEWASH PVDF 48"" FLAT                                       ",22,WEATHERED ZINC/WASH 
CFLAT22WWWA48       ,"*CUSTOM LENGTH* 22GA WHITE WHITE / WHITEWASH SMP 48"" FLAT                                           ",22,WHITE WHITE/WASH    
CFLAT22WS48         ,"*CUSTOM LENGTH* 22GA WEATHERING STEEL 48"" FLAT                                                      ",22,WEATHERING STEEL    
CFLAT22WHRG36       ,"*CUSTOM LENGTH* 22GA BRITE WHITE / REGENT GREY SMP 36"" FLAT                                         ",22,BRITE WHITE/REGENT G
CFLAT22TCWA48       ,"*CUSTOM LENGTH* 22GA TERRA COTTA / WHITEWASH PVDF 48"" FLAT                                          ",22,TERRA COTTA/WASH    
CFLAT22SWTN48       ,"*CUSTOM LENGTH* 22GA SURF WHITE / TAN SMP 48"" FLAT                                                  ",22,SURF WHITE/TAN      
CFLAT22SMWA48       ,"*CUSTOM LENGTH* 22GA SILVER METALLIC / WHITEWASH PVDF 48"" FLAT                                      ",22,SILVER METALLIC/WASH
MC24BIRWA48S        ,"24GA BIRCH / WASH PVDF PRINTECH 48"" GR33 MASTER COIL                                                ",24,BIRCH/WASH          
CFLAT22SGMB48       ,"*CUSTOM LENGTH* 22GA STONE GREY / METRO BROWN SMP 48"" FLAT                                          ",22,STONE GREY/METRO BRO
HF12R124CGBK        ,*1 RIB* 24GA CHARCOAL GREY / BLACK SMP HF12                                                         ,24,CHARCOAL GREY/BLACK 
CFLAT22SBWW48       ,"*CUSTOM LENGTH* 22GA SLATE BLUE / WHITE WHITE SMP 48"" FLAT                                          ",22,SLATE BLUE/WHITE WHI
CFLAT22REWA48       ,"*CUSTOM LENGTH* 22GA REGAL BLUE / WHITEWASH PVDF 48"" FLAT                                           ",22,REGAL BLUE/WASH     
CFLAT22PMWA48       ,"*CUSTOM LENGTH* 22GA PARCHMENT / WHITEWASH PVDF 48"" FLAT                                            ",22,PARCHMENT/WASH      
CFLAT22PEWA48       ,"*CUSTOM LENGTH* 22GA PEBBLE / WHITEWASH PVDF 48"" FLAT                                               ",22,PEBBLE/WASH         
CFLAT22LU48         ,"*CUSTOM LENGTH* 22GA GALVALUME 48"" FLAT                                                             ",22,GALVALUME           
CFLAT22GRAWA48      ,"*CUSTOM LENGTH* 22GA GRAPHITE / WHITEWASH TEX 48"" FLAT                                              ",22,GRAPHITE/WASH       
CFLAT22GN48         ,"*CUSTOM LENGTH* 22GA GALVANNEAL 48"" FLAT                                                            ",22,GALVANNEAL          
CFLAT22GA48         ,"*CUSTOM LENGTH* 22GA GALVANIZED 48"" FLAT                                                            ",22,GALVANIZED          
CFLAT22GA41         ,"*CUSTOM LENGTH* 22GA GALVANIZED 41"" FLAT                                                            ",22,GALVANIZED          
CFLAT22DKPW48       ,"*CUSTOM LENGTH* 22GA DARK BROWN / POLAR WHITE SMP 48"" FLAT                                          ",22,DARK BROWN/POLAR WHI
DCSW26SWIRON        ,26GA SURF WHITE / IRON ORE SMP DCSW                                                                 ,26,IRON ORE/SURF WHITE 
CFLAT22CWRG48       ,"*CUSTOM LENGTH* 22GA CAMBRIDGE WHITE / REGENT GREY SMP 48"" FLAT                                     ",22,CAMBRIDGE WHITE/REG 
CFLAT22CPWA48       ,"*CUSTOM LENGTH* 22GA COPPER PENNY / WHITEWASH PVDF 48"" FLAT                                         ",22,COPPER PENNY/WASH   
CFLAT22BWWW48       ,"*CUSTOM LENGTH* 22GA BONE WHITE / WHITE WHITE SMP 48"" FLAT                                          ",22,BONE WHITE/WHITE    
HFSD26BKWA          ,26GA BLACK / WHITEWASH SMP HFSD                                                                     ,26,BLACK/WASH          
DCHD26TCWA          ,26GA TERRA COTTA / WHITEWASH PVDF DCHD                                                              ,26,TERRA COTTA/WASH    
WF636R24WADBW       ,24GA WHITEWASH / WF DARK BRONZE PVDF WF636R                                                         ,24,WF DARK BRONZE/WASH 
WF636R26WADBW       ,26GA WHITEWASH / WF DARK BRONZE PVDF WF636R                                                         ,26,WF DARK BRONZE/WASH 
1236R22SWTN         ,*REVERSE* 22GA SURF WHITE / TAN SMP WF1236                                                          ,22,SURF WHITE/TAN      
PBHD24PONWA         ,24GA PONDEROSA / WHITEWASH PVDF PBHD                                                                ,24,PONDEROSA/WASH      
CFLAT22BKCG48       ,"*CUSTOM LENGTH* 22GA BLACK / CHARCOAL GREY SMP 48"" FLAT                                             ",22,BLACK/CHARCOAL GREY 
CFLAT20LU48         ,"*CUSTOM LENGTH* 20GA GALVALUME 48"" FLAT                                                             ",20,GALVALUME           
CFLAT20GN48         ,"*CUSTOM LENGTH* 20GA GALVANNEAL 48"" FLAT                                                            ",20,GALVANNEAL          
CFLAT20GA48         ,"*CUSTOM LENGTH* 20GA GALVANIZED 48"" FLAT                                                            ",20,GALVANIZED          
DCJT124DURWA        ,24GA DURANGO / WHITEWASH PVDF DCJT1                                                                 ,24,DURANGO/WASH        
CFLAT20AM48         ,"*CUSTOM LENGTH* 20GA ALUMINUM 48"" FLAT                                                              ",20,ALUMINUM            
CFLAT18GA48         ,"*CUSTOM LENGTH* 18GA GALVANIZED 48"" FLAT                                                            ",18,GALVANIZED          
CFLAT18AM48         ,"*CUSTOM LENGTH* 18GA ALUMINUM 48"" FLAT                                                              ",18,ALUMINUM            
WVH3626LBKWA        ,26GA LOW GLOSS BLACK / WHITEWASH PVDF WVH36                                                         ,26,LOW GLOSS BLACK/WASH
HFSB29HBWA          ,29GA HERON BLUE / WHITEWASH SMP HFSB                                                                ,29,HERON BLUE/WASH     
DCPROW26WCWA        ,26GA WEATHERED COPPER / WHITEWASH PVDF DCPROW                                                       ,26,WEATHERED COPPER/WAS
CORDC24ESPWA        ,24GA ESPRESSO / WHITEWASH PVDF CORDC                                                                ,24,ESPRESSO/WASH       
CF22LBKWA30         ,"*30"" CUSTOM* 22GA LOW GLOSS BLACK / WHITEWASH PVDF FLASHING                                         ",22,LOW GLOSS BLACK/WASH
CF22LBKWA36         ,"*36"" CUSTOM* 22GA LOW GLOSS BLACK / WHITEWASH PVDF FLASHING                                         ",22,LOW GLOSS BLACK/WASH
CORJT229SBWA        ,29GA SLATE BLUE / WHITEWASH SMP CORJT2                                                              ,29,SLATE BLUE/WASH     
ACP29BKWA           ,*PERF* 29GA BLACK / WHITEWASH SMP ALLCLAD                                                           ,29,BLACK/WASH          
ACP29CGWA           ,*PERF* 29GA CHARCOAL GREY / WHITEWASH SMP ALLCLAD                                                   ,29,CHARCOAL GREY/WASH  
ACP29WWWA           ,*PERF* 29GA WHITE WHITE / WHITEWASH SMP ALLCLAD                                                     ,29,WHITE WHITE/WASH    
ACP29WHWA           ,*PERF* 29GA BRITE WHITE / WHITEWASH SMP ALLCLAD                                                     ,29,BRITE WHITE/WASH    
DCP29BKWA           ,*PERF* 29GA BLACK / WHITEWASH SMP DURACLAD                                                          ,29,BLACK/WASH          
DCP29CGWA           ,*PERF* 29GA CHARCOAL GREY / WHITEWASH SMP DURACLAD                                                  ,29,CHARCOAL GREY/WASH  
DCP29WWWA           ,*PERF* 29GA WHITE WHITE / WHITEWASH SMP DURACLAD                                                    ,29,WHITE WHITE/WASH    
DCP29WHWA           ,*PERF* 29GA BRITE WHITE / WHITEWASH SMP DURACLAD                                                    ,29,BRITE WHITE/WASH    
MCP29BKWA41E        ,"*PERF* 29GA BLACK / WASH SMP 41"" GR80 MASTER COIL                                                   ",29,BLACK/WASH          
MCP29CGWA41E        ,"*PERF* 29GA CHARCOAL GREY / WASH SMP 41"" GR80 MASTER COIL                                           ",29,CHARCOAL GREY/WASH  
MCP29WWWA41E        ,"*PERF* 29GA WHITE WHITE / WASH SMP 41"" GR80 MASTER COIL                                             ",29,WHITE WHITE/WASH    
MCP29WHWA41E        ,"*PERF* 29GA BRITE WHITE / WASH SMP 41"" GR80 MASTER COIL                                             ",29,BRITE WHITE/WASH    
636ICP24TNWA        ,24GA TAN / WHITEWASH SMP 636ICP                                                                     ,24,TAN/WASH            
636JT122TNSW        ,22GA TAN / SURF WHITE SMP 636JT1                                                                    ,22,SURF WHITE/TAN      
636DC22TNSW         ,22GA TAN / SURF WHITE SMP 636DC                                                                     ,22,SURF WHITE/TAN      
DCOCP26DWGCA        ,26GA DEEP WATER GREEN / CASHMERE SMP DCOCP                                                          ,26,DEEP WATER/CASHMERE 
PB6P24DBWWA         ,*PERF* 24GA WF DARK BRONZE / WHITEWASH PVDF PROBOARD 6                                              ,24,WF DARK BRONZE/WASH 
WF636R26WAMG        ,26GA WHITEWASH / MELCHERS GREEN SMP WF636R                                                          ,26,MELCHERS GREEN/WASH 
PRJT229HBWA         ,29GA HERON BLUE / WASH SMP PRJT2                                                                    ,29,HERON BLUE/WASH     
HFHD29RGWA          ,29GA REGENT GREY / WHITEWASH SMP HFHD                                                               ,29,REGENT GREY/WASH    
PRPROW26SWIRON      ,26GA SURF WHITE / IRON ORE SMP PRPROW                                                               ,26,IRON ORE/SURF WHITE 
PROPEAK26SAGECW     ,26GA SAGE GREEN / CAMBRIDGE WHITE SMP PROPEAK                                                       ,26,SAGE GREEN/CAMBRIDGE
PRGT26SAGECW        ,26GA SAGE GREEN / CAMBRIDGE WHITE SMP PRGT                                                          ,26,SAGE GREEN/CAMBRIDGE
HF12W26IRONSW       ,26GA IRON ORE / SURF WHITE SMP HF12 WAVE                                                            ,26,IRON ORE/SURF WHITE 
HFHD26DRWA          ,26GA DARK RED / WHITEWASH SMP HFHD                                                                  ,26,DARK RED/WASH       
MCP24CGBK48S        ,"*PERF* 24GA CHARCOAL GREY / BLACK SMP 48"" GR33 MASTER COIL                                          ",24,CHARCOAL GREY/BLACK 
EZT124CWRG          ,"24GA CAMBRIDGE WHITE / REGENT GREY SMP EZLOK T 1""                                                   ",24,CAMBRIDGE WHITE/REG 
HFJT122CWRG         ,22GA CAMBRIDGE WHITE / REGENT GREY SMP HFJT1                                                        ,22,CAMBRIDGE WHITE/REG 
CF22CWRG9           ,"*9"" CUSTOM* 22GA CAMBRIDGE WHITE / REGENT GREY SMP FLASHING                                         ",22,CAMBRIDGE WHITE/REG 
CORWT26IRONSW       ,26GA IRON ORE / SURF WHITE SMP CORWT                                                                ,26,IRON ORE/SURF WHITE 
WF636R24CAIRON      ,24GA CASHMERE / IRON ORE SMP WF636R                                                                 ,24,IRON ORE/CASHMERE   
PBEZJ24CWGD         ,24GA CAMBRIDGE WHITE / GOLD SMP PBEZJ                                                               ,24,GOLD/CAMBRIDGE WHITE
CF24CWGD6           ,"*6"" CUSTOM* 24GA CAMBRIDGE WHITE / GOLD SMP FLASHING                                                ",24,GOLD/CAMBRIDGE WHITE
PBDC24CWGD          ,24GA CAMBRIDGE WHITE / GOLD SMP PBDC                                                                ,24,GOLD/CAMBRIDGE WHITE
PBRZJ24CWGD         ,24GA CAMBRIDGE WHITE / GOLD SMP PBEZJ                                                               ,24,GOLD/CAMBRIDGE WHITE
PBWTS24CWGD         ,24GA CAMBRIDGE WHITE / GOLD SMP PBWTS                                                               ,24,GOLD/CAMBRIDGE WHITE
PBEZOC24CWGD        ,24GA CAMBRIDGE WHITE / GOLD SMP PBEZOC                                                              ,24,GOLD/CAMBRIDGE WHITE
RS124CMWA           ,"24GA CHAMPAGNE METALLIC / WHITEWASH PVDF 1"" REVEAL STRIP                                            ",24,CHAMPAGNE METAL/WASH
SC24CMWA3           ,"24GA CHAMPAGNE METALLIC / WHITEWASH PVDF 3.162"" SLIT COIL                                           ",24,CHAMPAGNE METAL/WASH
SC24CMWA12          ,"24GA CHAMPAGNE METALLIC / WHITEWASH PVDF 12.668"" SLIT COIL                                          ",24,CHAMPAGNE METAL/WASH
HF924CMWA           ,24GA CHAMPAGNE METALLIC / WASH PVDF HF9                                                             ,24,CHAMPAGNE METAL/WASH
HF624CMWA           ,24GA CHAMPAGNE METALLIC / WHITEWASH PVDF HF6                                                        ,24,CHAMPAGNE METAL/WASH
SC24CMWA9           ,"24GA CHAMPAGNE METALLIC / WHITEWASH PVDF 9.668"" SLIT COIL                                           ",24,CHAMPAGNE METAL/WASH
EZJ124TNWA          ,24GA TAN / WHITEWASH SMP EZJ1                                                                       ,24,TAN/WASH            
BIGG24BKWA          ,24GA BLACK / WHITEWASH SMP BIGG                                                                     ,24,BLACK/WASH          
CF22SLGWA36         ,"*36"" CUSTOM* 22GA SLATE GREY / WHITEWASH PVDF FLASHING                                              ",22,SLATE GREY/WASH     
CF22SLGWA30         ,"*30"" CUSTOM* 22GA SLATE GREY / WHITEWASH PVDF FLASHING                                              ",22,SLATE GREY/WASH     
CF22SLGWA18         ,"*18"" CUSTOM* 22GA SLATE GREY / WHITEWASH PVDF FLASHING                                              ",22,SLATE GREY/WASH     
CF22SLGWA15         ,"*15"" CUSTOM* 22GA SLATE GREY / WHITEWASH PVDF FLASHING                                              ",22,SLATE GREY/WASH     
CF22SLGWA12         ,"*12"" CUSTOM* 22GA SLATE GREY / WHITEWASH PVDF FLASHING                                              ",22,SLATE GREY/WASH     
HFICP22SLGWA        ,22GA SLATE GREY / WHITEWASH PVDF HFICP                                                              ,22,SLATE GREY/WASH     
HFOCP22SLGWA        ,22GA SLATE GREY / WHITEWASH PVDF HFOCP                                                              ,22,SLATE GREY/WASH     
WF636R26CWSAGE      ,26GA CAMBRIDGE WHITE / SAGE GREEN SMP WF636R                                                        ,26,SAGE GREEN/CAMBRIDGE
HF12W24AUTWA        ,24GA AUTUMN / WHITEWASH PVDF HF12 WAVY                                                              ,24,AUTUMN/WASH         
WF636R26WATB        ,26GA WHITEWASH / TAHOE BLUE PVDF WF636R                                                             ,26,TAHOE BLUE/WASH     
HF12R124DZWA        ,*1 RIB* 24GA DARK ZINC / WHITEWASH PVDF HF12                                                        ,24,DARK ZINC/WASH      
RT2L24WCWA          ,24GA WEATHERED COPPER / WHITEWASH PVDF RT2L                                                         ,24,WEATHERED COPPER/WAS
BOBA24AUTWA         ,24GA AUTUMN / WHITEWASH PVDF BOARD & BATTEN                                                         ,24,AUTUMN/WASH         
WMDC29BSWA          ,29GA BUCKSKIN / WHITEWASH SMP WMDC                                                                  ,29,BUCKSKIN/WASH       
HF6P22PWDK          ,*PERF* 22GA POLAR WHITE / DARK BROWN GREY SMP HF6                                                   ,22,DARK BROWN/POLAR WHI
123624DBWWA         ,24GA WF DARK BRONZE / WASH PVDF WF1236                                                              ,24,WF DARK BRONZE/WASH 
PR16NR26DGWWA       ,*NO RIB* 26GA WF DARK GREEN / WHITEWASH PVDF PROLOK 16                                              ,26,WF DARK GREEN/WASH  
HF6P24PWDK          ,*PERF* 24GA POLAR WHITE / DARK BROWN SMP HF6                                                        ,24,DARK BROWN/POLAR WHI
CF22LBKWA6          ,"*6"" CUSTOM* 22GA LOW GLOSS BLACK / WHITEWASH PVDF FLASHING                                          ",22,LOW GLOSS BLACK/WASH
BOBA24CTWA          ,24GA CONCRETE / WHITEWASH PE BOARD & BATTEN                                                         ,24,CONCRETE/WASH       
RS124SLGWA          ,"24GA SLATE GREY / WHITEWASH PVDF 1"" REVEAL STRIP                                                    ",24,SLATE GREY/WASH     
SC24SLGWA3          ,"24GA SLATE GREY / WHITEWASH PVDF 3.162"" SLIT COIL                                                   ",24,SLATE GREY/WASH     
DIAR26DKWW          ,*REVERSE* 26GA DARK BROWN / WHITE WHITE SMP DIAMOND                                                 ,26,DARK BROWN/WHITE WHI
DIAR26WWDK          ,*REVERSE* 26GA WHITE WHITE / DARK BROWN SMP DIAMOND                                                 ,26,DARK BROWN/WHITE WHI
DIA29GRWA           ,29GA BILLY'S GREY / WASH SMP DIAMOND                                                                ,29,BILLY'S GREY/WASH   
RDB63620GN-40       ,20GA GALVANNEAL 636 ROOF DECK LAP B *GR40                                                           ,20,GALVANNEAL          
RDA63620GN-40       ,20GA GALVANNEAL 636 ROOF DECK LAP A *GR40                                                           ,20,GALVANNEAL          
RDB63616GN-40       ,16GA GALVANNEAL 636 ROOF DECK LAP B *GR40                                                           ,16,GALVANNEAL          
RDA63616GN-40       ,16GA GALVANNEAL 636 ROOF DECK LAP A *GR40                                                           ,16,GALVANNEAL          
RDB63618GN-40       ,18GA GALVANNEAL 636 ROOF DECK LAP B *GR40                                                           ,18,GALVANNEAL          
RDA63618GN-40       ,18GA GALVANNEAL 636 ROOF DECK LAP A *GR40                                                           ,18,GALVANNEAL          
DCICP29TNWA         ,29GA TAN / WHITEWASH SMP DCICP                                                                      ,29,TAN/WASH            
COR24CGWI           ,24GA CHARCOAL GREY / WICKER SMP CORRUGATED                                                          ,24,WICKER/CHARCOAL GREY
COIL26SAGECW12      ,"26GA SAGE GREEN / CAMBRIDGE WHITE SMP 12"" x 50' COIL                                                ",26,SAGE GREEN/CAMBRIDGE
MC26RGWA36E         ,"26GA REGENT GREY / WASH SMP 36"" GR80 MASTER COIL                                                    ",26,REGENT GREY/WASH    
CORHD24ALWA         ,24GA ANTIQUE LINEN / WASH SMP CORHD                                                                 ,24,ANTIQUE LINEN/WASH  
COIL26PTPS48        ,"26GA PACIFIC TURQUOISE / PEBBLESTONE SMP 48"" x 50' COIL                                             ",26,PACIFIC TURQ/PEBBLE 
BOBA24BSLWA         ,24GA BURNISHED SLATE / WHITEWASH TEX BOARD & BATTEN                                                 ,24,BURNISHED SLATE/WASH
MC26MGWA36E         ,"26GA MELCHERS GREEN / WASH SMP 36"" GR80 MASTER COIL                                                 ",26,MELCHERS GREEN/WASH 
636EAVE24GA         ,24GA GALVANIZED 636EAVE                                                                             ,24,GALVANIZED          
636GT24GA           ,24GA GALVANIZED 636GT                                                                               ,24,GALVANIZED          
DCPEAK29IRON        ,29GA IRON ORE / WHITEWASH SMP DCPEAK                                                                ,29,IRON ORE/WASH       
636SW24GA           ,24GA GALVANIZED 636SW                                                                               ,24,GALVANIZED          
MC29MGWA36E         ,"29GA MELCHERS GREEN / WASH SMP 36"" GR80 MASTER COIL                                                 ",29,MELCHERS GREEN/WASH 
MC26MBWA36E         ,"26GA METRO BROWN / WASH SMP 36"" GR80 MASTER COIL                                                    ",26,METRO BROWN/WASH    
WSPEAK26TBWA        ,26GA TAHOE BLUE / WHITEWASH PVDF WSPEAK                                                             ,26,TAHOE BLUE/WASH     
SS224TRWA           ,24GA TILE RED / WASH SMP SS2 (REINFORCED)                                                           ,24,TILE RED/WASH       
AC24SGLB            ,24GA STONE GREY / LABRADOR BLUE SMP ALLCLAD                                                         ,24,LABRADOR BLUE/STONE 
CORDC24AM           ,24GA ALUMINUM CORDC                                                                                 ,24,ALUMINUM            
PB622WWWA           ,22GA WHITE WHITE / WHITEWASH SMP PROBOARD 6                                                         ,22,WHITE WHITE/WASH    
SC22WWWA8           ,"22GA WHITE WHITE / WHITEWASH SMP 8.85"" SLIT COIL                                                    ",22,WHITE WHITE/WASH    
MC24IRONWA48S       ,"24GA IRON ORE / WASH SMP 48"" GR33 MASTER COIL                                                       ",24,IRON ORE/WASH       
CF24SAFWA24         ,"*24"" CUSTOM* 24GA SAFETY YELLOW / WHITEWASH SMP FLASHING                                            ",24,SAFETY YELLOW/WASH  
